Tower_ID,temperature_c,battery_health,Power_Consumption_W,signal_drop_rate,Fan_Speed_RPM,Humidity_Percent,Traffic_Load,Tower_Age_Years,hardware_failure
164,41.4,44.52,1635,87,2481,83,2970,9,1
165,31.1,49.9,2062,79,3455,55,993,7,0
166,64.4,46.26,2249,62,1534,69,1276,6,1
167,69.3,46.24,650,72,2367,92,2300,1,1
168,53.9,43.9,2639,98,1579,24,2727,11,1
169,39.8,45.65,1222,56,1726,67,1325,5,0
170,22.6,50.89,1565,46,2977,81,4459,10,1
171,66.7,46.44,1484,49,1071,69,1084,9,1
172,29.8,43.71,1568,68,3050,40,4539,15,1
173,54.7,51.96,1375,63,1753,55,529,6,0
174,39.5,51.14,2569,50,1510,72,392,9,1
175,49.3,54,2169,51,1329,25,1529,12,1
176,31.1,52.64,519,65,839,78,4893,11,1
177,20.2,44.89,2025,58,3384,52,3739,13,1
178,59.3,45.24,1524,86,1940,59,2760,11,1
179,55.1,51.31,1003,68,2192,28,3709,13,1
180,42.7,42.35,2605,50,1213,63,3125,6,1
181,50.8,50.06,2801,67,2467,49,2414,2,0
182,43,46.78,2765,83,2533,49,4960,7,0
183,24.7,53.35,813,66,914,86,3805,12,1
184,21.2,51.17,2930,91,2956,72,3720,15,0
185,69.8,42.77,2405,66,2386,80,221,9,1
186,42.3,48.46,1271,52,2443,45,4981,2,1
187,63.9,49.94,853,98,2728,32,2606,11,1
188,68.9,48.12,940,83,2384,65,833,14,1
189,24.3,46.92,1132,54,2783,75,226,8,1
190,49.1,53.95,2197,98,2753,88,500,11,0
191,55.5,51.15,2313,56,2353,72,3493,7,1
192,45.2,52.41,1062,40,1495,79,1094,4,1
193,27.2,45.9,755,48,1154,73,3490,1,1
194,25.9,51.88,2631,65,1427,69,4023,12,0
195,53,47.73,2554,82,1218,37,4833,8,0
196,68.1,45.86,2605,52,3400,71,4582,4,1
197,50.3,52.78,2265,54,1646,32,3047,2,1
198,20.1,42.36,2147,94,2101,49,2772,6,1
199,38.5,42.36,1322,78,1123,95,3758,7,1
200,22.2,49.28,723,86,863,85,4186,2,1
201,27.4,47.72,2200,89,3451,85,4630,7,0
202,35.9,46.02,955,46,3418,27,3152,11,1
203,26.3,43.9,1272,49,2452,76,2134,5,1
204,39.4,50.13,2227,43,1435,43,3401,11,1
205,51.2,49.44,2083,41,2718,48,4348,3,1
206,26.5,44.76,2668,98,2737,27,4929,7,1
207,58.7,49.59,737,93,2158,87,3751,7,1
208,30.2,44.83,2776,94,2719,25,2474,6,1
209,48.5,46.28,2569,44,2487,55,3064,14,1
210,61.2,50.45,1763,81,3244,42,471,4,1
211,35.4,53.42,1174,77,2370,84,2307,13,0
212,64,46.52,1707,76,3340,45,2522,6,1
213,34.7,53.5,639,84,1715,87,4132,9,0
214,27.5,50.22,2458,91,3435,95,2655,12,0
215,41.7,42.75,2708,89,2070,91,3373,10,1
216,28.7,46.14,2023,92,2911,57,923,13,0
217,23.6,42.35,2056,82,3329,65,1781,3,1
218,54.2,52.68,2015,63,1303,86,4303,13,0
219,23.3,43.76,1319,89,2036,22,732,14,1
220,64.9,49.57,986,95,2605,57,3897,13,1
221,53.5,53.39,2514,48,1049,81,108,11,1
222,64.2,50.95,2863,49,1300,50,782,2,1
223,60.8,47.07,1144,52,2392,28,4141,15,1
224,45.3,49.77,514,45,860,62,2473,11,1
225,69.2,49.92,2801,70,1931,59,3523,14,1
226,33.9,52.67,1049,79,2405,51,4614,14,0
227,43.6,53.34,2224,43,1090,95,3312,12,1
228,68.6,52.89,524,88,816,36,2216,10,1
229,63.1,50.6,1776,57,2143,95,246,13,1
230,33.1,44.6,2668,74,1969,46,503,4,1
231,51.8,48.67,2535,62,2141,22,842,15,0
232,62.1,42.6,1052,85,1296,44,2144,15,1
233,55.3,46.56,813,88,956,42,3396,1,1
234,23.3,49.48,2879,86,2340,49,4745,2,0
235,46.9,47.14,2564,45,1007,57,1636,15,1
236,39,52.68,1498,53,2277,92,993,7,1
237,67.8,52.59,1186,97,1388,70,2282,5,1
238,55.8,45.06,2096,98,1811,43,3244,10,1
239,67.7,48.71,2616,72,2973,37,2306,2,1
240,57.2,52.7,525,55,1527,54,2401,12,1
241,48,46.13,2335,75,2064,56,4866,12,0
242,20.2,42.48,1072,73,3369,90,4274,1,1
243,67.8,51.91,771,79,1390,28,1677,7,1
244,58.3,53.68,2533,53,1735,38,1099,13,1
245,44.4,53.17,2746,71,1042,78,1369,14,1
246,28.9,52.65,2888,60,1412,69,4794,10,0
247,41.9,42.72,1434,81,1193,74,3282,12,1
248,20.7,49.1,1863,45,3003,63,2151,9,1
249,34.2,50.27,2249,57,1649,74,3772,10,0
250,62.5,52.69,2856,57,2284,61,4292,13,1
251,34.7,45.82,2682,92,2723,63,3571,3,0
252,33.4,42.09,637,95,2560,23,1348,7,1
253,36.4,45.27,694,72,2509,49,1581,5,0
254,28.3,52.61,1773,56,2171,52,3778,7,0
255,22.3,45.87,2007,90,3476,84,2427,6,0
256,61,49.56,991,67,2741,77,1162,6,1
257,69.6,53.71,1495,45,1968,85,1872,11,1
258,52,42.47,1458,94,3330,52,3644,11,1
259,33.2,51,2621,85,1197,80,1986,7,1
260,32.3,43.09,2122,63,3000,40,4033,9,1
261,60.6,43.88,779,94,2956,94,1381,3,1
262,47.9,42.55,1236,56,1590,81,4376,8,1
263,39.1,51.87,2646,69,1220,34,1307,11,0
264,67.4,51.29,2126,95,3109,71,4408,11,1
265,49.4,46.77,1044,73,1610,62,2953,12,0
266,57.6,53.22,2108,52,1983,61,3432,12,1
267,25.2,51.07,786,60,1502,54,2717,14,0
268,20.5,46.36,1666,94,2957,55,2231,6,0
269,31.7,46.37,1381,97,2540,92,247,6,0
270,65.2,42.39,2681,54,2574,56,1730,13,1
271,69.1,45.23,568,89,1319,56,3939,6,1
272,46.8,51.39,1833,75,2430,95,1455,8,0
273,53.7,53.32,1203,93,2380,48,3574,3,0
274,50.9,46.12,2847,92,1335,82,4766,6,0
275,47,53.07,2857,41,2208,60,4148,8,1
276,34.5,51.77,1822,96,2220,65,1250,5,0
277,31.1,52.29,2616,56,2094,54,1507,6,0
278,58.1,44.51,2209,83,2853,48,486,10,1
279,62.1,52.35,955,55,1787,62,4403,8,1
280,59,48.01,745,70,3230,29,4338,4,1
281,34.2,52.56,1969,95,1929,46,3457,2,0
282,58.6,46.36,987,63,3354,51,2023,12,1
283,35.6,47.69,1773,81,1673,73,4201,2,0
284,59.8,52.47,2658,99,2968,26,4375,3,1
285,53.4,48.51,2421,41,2222,61,902,13,1
286,31.1,47.64,2473,79,1827,26,2649,15,0
287,53.7,45.46,1049,82,892,54,2333,14,1
288,44.2,48.31,1711,88,2311,83,428,10,0
289,48.4,50.29,838,56,2073,48,3806,5,0
290,20.3,49.21,2535,100,1835,85,1951,1,0
291,27.3,48.87,1494,65,1264,95,3935,13,0
292,66,53.93,1129,62,2661,60,2491,3,1
293,63.5,47.55,2490,82,1198,47,2314,7,1
294,65.2,42.8,2307,98,3210,61,3454,9,1
295,67.9,49.28,1528,74,3012,31,2509,13,1
296,24.9,51.6,1822,75,1841,71,2066,10,0
297,48.6,42.41,1146,74,1475,91,3517,10,1
298,57.5,53.34,1474,98,2716,49,890,15,1
299,49.5,42.39,2748,54,3316,28,4234,9,1
300,29.9,42.59,1717,74,2409,49,3795,11,1
301,54,43.67,1194,94,2349,29,4194,7,1
302,66.1,50.57,1640,43,1745,65,2563,11,1
303,35.9,51.13,2455,42,963,52,712,12,1
304,43,51.4,2944,86,3316,47,2321,1,0
305,63.8,48.3,1085,74,1561,29,563,9,1
306,45.3,53.6,692,48,935,48,1792,5,1
307,26.7,43.26,2212,59,2037,50,4979,6,1
308,63.6,45.39,851,46,1862,62,134,10,1
309,41.5,45.02,576,68,3389,28,1546,4,0
310,27.4,53.65,1786,48,957,63,2279,7,1
311,26.1,43.74,2955,42,1821,27,2540,4,1
312,26.4,48.8,962,92,1864,68,973,1,0
313,31.5,53.09,631,77,3500,64,1481,6,0
314,20.4,49.62,1819,40,1507,82,1014,10,1
315,41.1,45.05,919,57,2422,47,1950,1,0
316,26.4,43.57,1413,65,1162,51,4553,1,1
317,64.6,50.62,2649,97,3489,67,3851,6,1
318,42.7,44.97,2524,64,3079,51,306,13,1
319,56.4,53.15,2139,48,3363,56,4657,13,1
320,43.3,53.1,2110,74,889,53,797,14,1
321,50.3,53.17,2280,78,976,26,1003,10,1
322,59.9,51.01,1803,77,2353,85,2011,13,1
323,43.3,45.92,1050,99,3259,75,589,14,0
324,34.2,44.01,2506,40,3417,42,2864,1,1
325,67.7,44.09,2556,76,2742,48,2416,9,1
326,21.2,52.71,1328,69,2405,55,873,4,0
327,68.1,51.79,820,54,875,61,4240,11,1
328,55.5,51.66,912,93,2135,32,2673,3,1
329,64.2,44.98,2120,96,2574,87,442,4,1
330,40.9,52.35,2912,46,1198,50,1029,8,1
331,61.8,44.5,2561,74,1502,65,4695,13,1
332,59.4,50.29,1264,80,921,52,799,6,1
333,21.2,50.58,918,100,1279,56,4901,13,0
334,37.7,48.87,2220,63,2818,30,4682,10,0
335,25.3,47.56,899,52,3070,49,804,9,1
336,65.4,45.27,1224,47,3234,53,1785,8,1
337,49.6,49.96,516,74,3046,66,4312,2,0
338,23.5,53.49,1128,76,1834,90,2278,9,0
339,24.8,50.71,667,70,3194,79,2840,5,0
340,41,49.89,1727,68,2230,21,1483,2,0
341,24.2,42.54,2284,99,3434,78,3003,6,1
342,38.4,46.45,1478,94,3204,26,3984,10,0
343,52.2,44.87,704,70,3350,91,890,9,1
344,62.3,47.47,2642,77,2308,51,3813,14,1
345,44.7,52.22,1624,77,3102,51,2781,10,0
346,63.3,45.6,2683,70,1282,91,2373,4,1
347,29.3,53.5,2578,81,2252,79,3675,13,0
348,67.5,44.02,2875,76,2019,47,3200,5,1
349,69.7,43.11,2498,40,1293,81,2220,2,1
350,68.3,50.14,956,57,3415,28,634,7,1
351,49.3,48.82,1094,58,1552,21,112,3,0
352,45.3,44,689,97,3197,44,3559,3,1
353,52.6,45.27,2880,47,2444,27,4278,12,1
354,39.6,48.83,2545,55,3322,82,673,13,0
355,39.1,44.76,2728,79,1947,93,3248,9,1
356,34.1,45.26,863,75,863,51,3456,10,1
357,62.6,53.68,1403,100,3210,54,1103,10,1
358,62.8,42.32,1852,71,1311,53,4826,12,1
359,64.6,49.91,1107,46,1427,73,4036,10,1
360,59.1,43.63,522,93,801,42,2382,7,1
361,54.4,42.77,2468,43,1426,71,2662,7,1
362,31.1,53.41,973,66,1559,46,3951,4,0
363,68.9,43.71,2370,77,1330,67,3331,1,1
364,38.5,43.28,2823,65,1312,69,3177,11,1
365,37.9,45.96,1827,65,2608,75,508,13,0
366,60,44.51,2228,46,2057,21,4155,8,1
367,60.7,52.69,1249,51,2184,34,3989,5,1
368,29.7,51.97,1202,73,3209,24,4538,5,0
369,50.9,48.02,2458,53,2718,88,4804,12,1
370,66.8,51.36,2746,97,1442,83,4132,7,1
371,30.5,44.52,1768,89,2859,56,3777,14,1
372,64.2,52.83,1834,67,888,43,947,13,1
373,34.2,44.24,1712,95,2556,32,2984,14,1
374,32,45.7,1894,62,3015,26,3199,10,0
375,55.6,44,2473,97,2934,74,579,1,1
376,65.5,47.75,2486,96,977,32,469,2,1
377,41.7,52,925,86,2483,90,943,3,0
378,31.3,45.98,1015,53,1911,53,1506,8,1
379,34.4,47.84,1108,61,3043,33,1119,12,0
380,55.9,51.37,1889,47,3272,61,646,15,1
381,29.7,48.7,1286,50,2277,80,429,6,1
382,69.3,44.8,1784,41,2097,53,2995,3,1
383,53.2,53.7,1584,77,3113,52,1539,2,0
384,34.5,53.82,2158,64,3448,53,1042,5,0
385,36,45.7,1532,99,2816,88,3560,5,0
386,30,51.04,2055,48,1524,45,2140,2,1
387,33,48.36,1890,63,2877,67,852,8,0
388,28,46.01,967,87,1399,73,369,11,0
389,26.3,45.83,1419,94,1858,60,2100,13,0
390,56.5,52.89,2633,63,3156,61,1259,11,1
391,68.9,45.15,1635,74,2863,52,2622,9,1
392,23.3,53.15,2065,49,2732,49,2765,5,1
393,35.5,52.88,2571,47,3431,83,897,2,1
394,57.1,51.2,1669,89,881,60,434,5,1
395,60.6,53.31,1455,78,1108,79,3942,2,1
396,67.1,52.21,2843,48,1936,92,244,15,1
397,35.2,50.53,996,43,3073,36,148,11,1
398,33.7,48.69,1489,74,1273,24,664,5,0
399,43.6,48.62,748,77,1117,81,3885,5,1
400,35.2,48.44,1143,76,1898,61,3422,15,0
401,43.6,50.25,2300,89,2390,77,3020,6,0
402,66.6,47.73,2632,68,3331,52,270,9,1
403,34.4,47.34,593,88,2777,91,2700,9,0
404,35.2,47.11,660,71,1398,53,1736,4,0
405,20.3,49.41,2703,58,2424,79,644,10,0
406,69.6,53.52,2385,97,1721,89,1642,8,1
407,51.4,42.19,1857,86,1336,24,2812,10,1
408,25.9,47.31,1863,64,2573,35,4002,15,0
409,63.1,43.44,2359,71,2534,31,3499,2,1
410,27.2,52.55,1935,100,2570,92,537,2,0
411,20.4,48.05,1799,47,1370,94,936,14,1
412,58.5,53.61,507,68,1840,20,4079,1,1
413,63.7,46.79,2915,57,2092,92,808,14,1
414,41.6,48.18,1714,74,827,30,4595,1,1
415,36.3,52.44,1605,53,1980,82,139,2,1
416,66,48.9,1545,44,2893,32,2937,15,1
417,37.2,48.85,2651,72,1516,42,863,11,0
418,39,51.32,2144,66,3479,94,3942,7,0
419,24.4,46.08,1401,55,2094,51,4870,3,0
420,26.9,49.96,1367,70,1706,59,2433,7,0
421,61.2,52.53,2368,54,1014,29,730,9,1
422,43.7,43.85,2501,41,3229,25,4379,2,1
423,46.3,42.05,2667,55,1696,60,4214,4,1
424,22.8,47.02,1734,87,2217,73,2527,5,0
425,61.1,51.53,1804,74,3462,36,2827,3,1
426,37.1,48.46,685,51,1470,32,1650,11,1
427,50.1,52.31,1413,54,2447,51,930,1,1
428,42.4,50.77,1498,98,3030,20,2849,7,0
429,64.2,48.94,2232,85,1978,49,4384,3,1
430,68.3,42.98,1970,79,1454,50,475,9,1
431,34.1,45.19,1580,61,1934,32,3616,3,0
432,24,48.84,2728,48,1918,24,1496,6,1
433,40.4,48.02,2683,40,1752,31,4085,5,1
434,42.5,47.7,1313,72,2431,60,938,9,0
435,35.6,46.01,1815,85,1253,35,3209,8,0
436,38.3,42.58,2633,52,3490,58,4813,2,1
437,20.4,43.63,512,56,1162,26,2568,12,1
438,56.2,42.12,1806,67,1389,85,1810,7,1
439,67.9,44.04,2003,98,3460,32,1655,7,1
440,55.7,45.33,1559,90,3388,45,323,10,1
441,34.8,48.24,2490,64,1871,63,3514,11,0
442,28.4,50.19,1563,90,2202,22,952,4,0
443,36.9,47.13,1508,62,3400,45,265,11,0
444,33.5,49.36,1927,63,3485,83,3771,15,0
445,40.8,50.87,1377,66,2077,59,2545,5,0
446,42.2,42.59,2975,56,2143,40,3061,10,1
447,31.7,52.57,1839,81,957,53,2206,5,1
448,52.2,48.25,881,44,1887,95,372,4,1
449,54,51.16,1626,64,1920,22,3158,13,0
450,60.4,44.16,1855,68,1813,59,2690,6,1
451,63.1,48.18,2599,81,2824,26,3601,15,1
452,44.1,47.48,1263,69,1725,24,2738,12,0
453,59,42.58,2283,72,875,79,3451,10,1
454,35.7,45.61,2534,86,1020,51,2374,9,1
455,38.6,49.27,1311,58,3106,72,3524,4,0
456,26.4,42.14,1062,41,1458,91,3544,3,1
457,66.4,52.98,1093,83,3132,52,1572,2,1
458,67.6,48.6,1618,44,2942,81,3571,1,1
459,48.6,47.4,1712,49,2443,61,3052,11,1
460,57.1,45.59,766,89,1869,81,3623,2,1
461,66.1,45.94,988,65,899,75,268,8,1
462,43.1,48.76,901,74,2462,31,1277,3,0
463,68.9,47.95,1243,62,1240,29,611,8,1
464,38.6,48.17,1682,43,2676,56,3575,4,1
465,43.3,49.81,1852,57,2749,54,951,15,0
466,46.8,53.49,2629,57,2120,61,1251,11,0
467,41.8,42.1,2335,95,2126,33,4569,5,1
468,24,46.6,1911,79,2987,50,4657,10,0
469,25.2,48.69,1209,60,3242,33,3030,2,0
470,25.1,42.36,762,70,2072,61,4698,2,1
471,38.7,48.5,544,47,2808,66,2303,8,1
472,47.5,43.91,654,93,2824,20,3986,12,1
473,68.4,52.33,1621,96,1317,61,2372,12,1
474,63.5,47.27,784,93,1404,74,3946,5,1
475,34.1,43.74,2960,49,2846,57,3691,15,1
476,65.8,53.85,1644,79,2584,28,2683,12,1
477,26.6,49.87,2221,51,3352,83,1379,7,1
478,59.8,48.59,1861,52,1566,56,1702,11,1
479,49.3,48.92,613,55,1348,57,4893,5,0
480,67.3,48.12,2155,67,2585,71,1264,11,1
481,36.9,46.35,1603,58,1452,23,3467,12,0
482,40.5,43.38,2663,45,2739,52,3124,8,1
483,48.5,48.92,2074,93,1728,64,4805,1,0
484,37.8,53.6,952,65,1089,41,4287,10,1
485,21.2,51.46,2004,58,2691,68,1936,7,0
486,39.3,45.43,2011,50,848,66,2922,8,1
487,41,45.74,778,61,3369,44,3769,9,0
488,59.2,45.57,2275,64,2743,26,1472,10,1
489,51.3,49.21,825,87,1768,79,2188,15,0
490,26.1,43.22,1513,52,1988,57,2082,13,1
491,25.5,50.45,865,96,3116,57,2163,11,0
492,24.4,52.69,2122,58,1851,76,4772,10,0
493,66.4,46.6,1676,83,969,81,4329,13,1
494,29,49.71,1389,97,2209,68,4028,4,0
495,67.1,50.25,1016,81,1708,46,4407,6,1
496,43,44.42,1730,68,3480,26,3654,7,1
497,27.8,42.32,2935,89,1676,93,4435,10,1
498,22.3,50.79,2759,75,1540,89,2669,6,0
499,30.2,53.88,2076,43,1911,95,636,14,1
500,32.3,44.31,2964,85,1979,20,1870,8,1
501,51.7,45.75,792,59,1764,62,681,4,0
502,21.8,44.03,2836,59,1896,46,1037,5,1
503,45.3,45.89,560,54,1559,41,4707,15,1
504,25,53.07,745,80,3058,63,2140,3,0
505,46.7,48.62,2226,85,2317,85,284,8,0
506,37.1,51.51,1862,84,2186,51,2478,5,0
507,20.9,45.99,1149,78,982,43,295,6,1
508,41.8,47.81,918,43,2000,70,1451,1,1
509,31.7,42.12,1399,53,2015,78,768,5,1
510,54.1,48.08,929,88,2182,89,2380,6,0
511,58.5,43.55,2397,62,1125,28,4874,7,1
512,59.4,44.53,2041,55,1705,35,2395,10,1
513,20.4,52.28,2063,78,3031,31,3396,12,0
514,37.3,48.36,2581,73,3027,38,3903,5,0
515,21.3,45.88,1435,80,2763,94,4937,14,0
516,61.3,50.69,2309,43,1492,67,309,8,1
517,63.8,50.48,932,68,2278,33,4476,2,1
518,38.7,42.42,1140,69,1505,95,1508,3,1
519,68.5,51.57,622,53,3242,54,4346,8,1
520,32,44.24,1390,73,1411,41,660,4,1
521,62.5,44.56,1238,75,1471,45,322,8,1
522,33.9,49.02,604,45,1798,51,1709,3,1
523,42,53.05,1856,59,1580,69,1132,4,0
524,52.1,50.11,988,79,2339,56,148,11,0
525,37.5,45.88,1009,74,1047,94,2560,2,1
526,31.6,42.6,1468,64,3050,69,2055,15,1
